EventId,EventTemplate,Occurrences
115,[instance b<*>dbf<*>-<*>d<*>-<*>e<*>-<*>ed-<*>a<*>ad<*>bee<*>e] Took <*>.<*> seconds to <*>,4
116,[instance <*>eb<*>f<*>-<*>-<*>-<*>dbf-cd<*>aaab<*>] <*>,13
117,[instance <*>eb<*>f<*>-<*>-<*>-<*>dbf-cd<*>aaab<*>] Took <*>.<*> seconds to <*>,4
118,[instance f<*>e<*>-db<*>-<*>-<*>b<*>-<*>cb<*>] <*>,13
119,[instance f<*>e<*>-db<*>-<*>-<*>b<*>-<*>cb<*>] Took <*>.<*> seconds to <*>,4
120,[instance e<*>dc<*>d-<*>-<*>a<*>d-<*>dd-<*>dac<*>] <*>,13
121,[instance e<*>dc<*>d-<*>-<*>a<*>d-<*>dd-<*>dac<*>] Took <*>.<*> seconds to <*>,4
122,[instance <*>a<*>bafe<*>-<*>-<*>ed<*>-b<*>be-e<*>f<*>b<*>] <*>,13
123,[instance <*>a<*>bafe<*>-<*>-<*>ed<*>-b<*>be-e<*>f<*>b<*>] Took <*>.<*> seconds to <*>,4
124,[instance <*>c<*>-<*>c-<*>cf<*>-a<*>b-<*>d<*>fcb<*>] <*>,13
125,[instance <*>c<*>-<*>c-<*>cf<*>-a<*>b-<*>d<*>fcb<*>] Took <*>.<*> seconds to <*>,4
126,[instance <*>bfc-c<*>-<*>e-b<*>da-<*>ce<*>] <*>,13
127,[instance <*>bfc-c<*>-<*>e-b<*>da-<*>ce<*>] Took <*>.<*> seconds to <*>,4
128,[instance bbe<*>cbfc-<*>c<*>-<*>a-<*>-<*>fd<*>aa<*>] <*>,13
129,[instance bbe<*>cbfc-<*>c<*>-<*>a-<*>-<*>fd<*>aa<*>] Took <*>.<*> seconds to <*>,4
130,[instance <*>c<*>ef<*>-c<*>-<*>b<*>-<*>c<*>-b<*>b<*>ebad<*>] <*>,13
131,[instance <*>c<*>ef<*>-c<*>-<*>b<*>-<*>c<*>-b<*>b<*>ebad<*>] Took <*>.<*> seconds to <*>,4
132,[instance c<*>dd<*>e<*>-ddc<*>-<*>-b<*>-<*>c<*>a<*>] <*>,13
133,[instance c<*>dd<*>e<*>-ddc<*>-<*>-b<*>-<*>c<*>a<*>] Took <*>.<*> seconds to <*>,4
134,[instance <*>d-a<*>-<*>-adfc-<*>a<*>cce<*>c] <*>,13
135,[instance <*>d-a<*>-<*>-adfc-<*>a<*>cce<*>c] Took <*>.<*> seconds to <*>,4
136,[instance <*>a<*>a-f<*>b-<*>e<*>e-<*>-de<*>f<*>dc<*>] <*>,13
137,[instance <*>a<*>a-f<*>b-<*>e<*>e-<*>-de<*>f<*>dc<*>] Took <*>.<*> seconds to <*>,4
138,[instance <*>b-d<*>a<*>-<*>ad-b<*>-<*>a<*>cc<*>ae] <*>,13
139,[instance <*>b-d<*>a<*>-<*>ad-b<*>-<*>a<*>cc<*>ae] Took <*>.<*> seconds to <*>,4
140,[instance cd<*>f<*>-<*>f-<*>bb-<*>d<*>e-fc<*>c<*>] <*>,13
141,[instance cd<*>f<*>-<*>f-<*>bb-<*>d<*>e-fc<*>c<*>] Took <*>.<*> seconds to <*>,4
142,[instance b<*>a<*>-f<*>-<*>cd-a<*>-b<*>c<*>a<*>] <*>,13
143,[instance b<*>a<*>-f<*>-<*>cd-a<*>-b<*>c<*>a<*>] Took <*>.<*> seconds to <*>,4
144,[instance <*>efdf<*>e-<*>-<*>f<*>d-<*>e<*>-<*>db<*>a<*>] <*>,13
145,[instance <*>efdf<*>e-<*>-<*>f<*>d-<*>e<*>-<*>db<*>a<*>] Took <*>.<*> seconds to <*>,4
146,[instance f<*>bd<*>-<*>c<*>-<*>d-<*>db<*>-fb<*>fb<*>df<*>c<*>] <*>,13
147,[instance f<*>bd<*>-<*>c<*>-<*>d-<*>db<*>-fb<*>fb<*>df<*>c<*>] Took <*>.<*> seconds to <*>,4
148,[instance f<*>d<*>f<*>-a<*>-<*>-<*>ce<*>-d<*>a<*>a<*>fe<*>f] <*>,13
149,[instance f<*>d<*>f<*>-a<*>-<*>-<*>ce<*>-d<*>a<*>a<*>fe<*>f] Took <*>.<*> seconds to <*>,4
150,[instance <*>f<*>f<*>d<*>b-cb<*>-<*>fd-ba<*>-<*>e<*>c<*>ca<*>d] <*>,13
151,[instance <*>f<*>f<*>d<*>b-cb<*>-<*>fd-ba<*>-<*>e<*>c<*>ca<*>d] Took <*>.<*> seconds to <*>,4
152,[instance <*>ddf<*>-aef<*>-<*>-<*>-fabb<*>dc<*>] <*>,13
153,[instance <*>ddf<*>-aef<*>-<*>-<*>-fabb<*>dc<*>] Took <*>.<*> seconds to <*>,4
154,[instance <*>e<*>db-<*>ec-<*>f<*>-<*>a<*>e-<*>f<*>b<*>d<*>b] <*>,13
155,[instance <*>e<*>db-<*>ec-<*>f<*>-<*>a<*>e-<*>f<*>b<*>d<*>b] Took <*>.<*> seconds to <*>,4
156,[instance <*>ac<*>c<*>-c<*>-<*>f<*>-<*>f<*>-<*>eddd<*>df<*>] <*>,13
157,[instance <*>ac<*>c<*>-c<*>-<*>f<*>-<*>f<*>-<*>eddd<*>df<*>] Took <*>.<*> seconds to <*>,4
158,[instance d<*>a<*>e-ded<*>-<*>c<*>-<*>f<*>-<*>b<*>bbaf<*>c] <*>,13
159,[instance d<*>a<*>e-ded<*>-<*>c<*>-<*>f<*>-<*>b<*>bbaf<*>c] Took <*>.<*> seconds to <*>,4
160,[instance <*>a<*>e<*>d<*>-<*>d<*>-<*>ee-<*>b-d<*>ef<*>b<*>cc<*>] <*>,13
161,[instance <*>a<*>e<*>d<*>-<*>d<*>-<*>ee-<*>b-d<*>ef<*>b<*>cc<*>] Took <*>.<*> seconds to <*>,4
162,[instance <*>b<*>-<*>f<*>-<*>-<*>-<*>e<*>c<*>ea] <*>,13
163,[instance <*>b<*>-<*>f<*>-<*>-<*>-<*>e<*>c<*>ea] Took <*>.<*> seconds to <*>,4
164,[instance <*>e<*>edd<*>-<*>b-<*>-<*>a-f<*>db<*>ae<*>] <*>,13
165,[instance <*>e<*>edd<*>-<*>b-<*>-<*>a-f<*>db<*>ae<*>] Took <*>.<*> seconds to <*>,4
166,[instance cdea<*>c<*>-<*>c-<*>-b<*>c<*>-<*>f<*>d<*>b<*>c<*>] <*>,13
167,[instance cdea<*>c<*>-<*>c-<*>-b<*>c<*>-<*>f<*>d<*>b<*>c<*>] Took <*>.<*> seconds to <*>,4
168,[instance <*>a-<*>a<*>-<*>a-<*>b<*>-<*>dea<*>c<*>c] <*>,13
169,[instance <*>a-<*>a<*>-<*>a-<*>b<*>-<*>dea<*>c<*>c] Took <*>.<*> seconds to <*>,4
170,[instance <*>c<*>ffc<*>-<*>cc<*>-<*>d-<*>c-<*>ab<*>dfa] <*>,13
171,[instance <*>c<*>ffc<*>-<*>cc<*>-<*>d-<*>c-<*>ab<*>dfa] Took <*>.<*> seconds to <*>,4
172,[instance <*>-a<*>-<*>e<*>-<*>c<*>d-<*>e<*>c] <*>,13
173,[instance <*>-a<*>-<*>e<*>-<*>c<*>d-<*>e<*>c] Took <*>.<*> seconds to <*>,4
174,[instance aeed<*>a-<*>ae<*>-<*>c<*>-a<*>-<*>d<*>e<*>b<*>cd] <*>,13
175,[instance aeed<*>a-<*>ae<*>-<*>c<*>-a<*>-<*>d<*>e<*>b<*>cd] Took <*>.<*> seconds to <*>,4
176,[instance <*>b<*>de<*>a<*>-<*>ac<*>-<*>dbf-<*>d-<*>c<*>f<*>e<*>d] <*>,13
177,[instance <*>b<*>de<*>a<*>-<*>ac<*>-<*>dbf-<*>d-<*>c<*>f<*>e<*>d] Took <*>.<*> seconds to <*>,4
178,[instance a<*>aaa<*>-e<*>-<*>bfb-<*>e-<*>a<*>f<*>b] <*>,13
179,[instance a<*>aaa<*>-e<*>-<*>bfb-<*>e-<*>a<*>f<*>b] Took <*>.<*> seconds to <*>,4
180,[instance f<*>b<*>e<*>-<*>de-<*>c-b<*>-<*>d<*>b<*>cf<*>d] <*>,13
181,[instance f<*>b<*>e<*>-<*>de-<*>c-b<*>-<*>d<*>b<*>cf<*>d] Took <*>.<*> seconds to <*>,4
182,[instance <*>c<*>f<*>-f<*>-<*>d<*>-bfdb-<*>af<*>b<*>bc] <*>,13
183,[instance <*>c<*>f<*>-f<*>-<*>d<*>-bfdb-<*>af<*>b<*>bc] Took <*>.<*> seconds to <*>,4
184,[instance d<*>a<*>a-<*>b<*>b-<*>a<*>-aa<*>a-<*>f<*>d<*>a<*>a] <*>,13
185,[instance d<*>a<*>a-<*>b<*>b-<*>a<*>-aa<*>a-<*>f<*>d<*>a<*>a] Took <*>.<*> seconds to <*>,4
186,[instance <*>cb<*>b-<*>d-<*>-b<*>-<*>d<*>df<*>afe<*>] <*>,13
187,[instance <*>cb<*>b-<*>d-<*>-b<*>-<*>d<*>df<*>afe<*>] Took <*>.<*> seconds to <*>,4
188,[instance <*>b<*>b<*>-<*>c<*>-<*>b<*>-<*>a-<*>e<*>ba<*>] <*>,13
189,[instance <*>b<*>b<*>-<*>c<*>-<*>b<*>-<*>a-<*>e<*>ba<*>] Took <*>.<*> seconds to <*>,4
190,[instance <*>ce<*>af-f<*>-<*>fe-b<*>f-b<*>b<*>f<*>f] <*>,13
191,[instance <*>ce<*>af-f<*>-<*>fe-b<*>f-b<*>b<*>f<*>f] Took <*>.<*> seconds to <*>,4
192,[instance eb<*>e<*>-<*>d-<*>ab-<*>-d<*>ea<*>cb<*>d] <*>,13
193,[instance eb<*>e<*>-<*>d-<*>ab-<*>-d<*>ea<*>cb<*>d] Took <*>.<*> seconds to <*>,4
194,[instance <*>ee<*>a-da<*>a-<*>-<*>-<*>] <*>,13
195,[instance <*>ee<*>a-da<*>a-<*>-<*>-<*>] Took <*>.<*> seconds to <*>,4
196,[instance a<*>-<*>ef<*>-<*>bb-a<*>-fc<*>f<*>f<*>e] <*>,13
197,[instance a<*>-<*>ef<*>-<*>bb-a<*>-fc<*>f<*>f<*>e] Took <*>.<*> seconds to <*>,4
198,[instance <*>f<*>d<*>-d<*>cf-<*>b<*>-<*>c<*>-<*>fe<*>a<*>] <*>,13
199,[instance <*>f<*>d<*>-d<*>cf-<*>b<*>-<*>c<*>-<*>fe<*>a<*>] Took <*>.<*> seconds to <*>,4
200,[instance <*>cadb<*>c<*>-<*>-<*>-ba<*>-<*>a<*>d<*>e<*>] <*>,13
201,[instance <*>cadb<*>c<*>-<*>-<*>-ba<*>-<*>a<*>d<*>e<*>] Took <*>.<*> seconds to <*>,4
202,[instance c<*>e<*>-a<*>-<*>bd-b<*>a-<*>cc<*>b<*>ef<*>] <*>,13
203,[instance c<*>e<*>-a<*>-<*>bd-b<*>a-<*>cc<*>b<*>ef<*>] Took <*>.<*> seconds to <*>,4
204,[instance f<*>df<*>d-<*>c<*>f-<*>-<*>-<*>c<*>f<*>d<*>b] <*>,13
205,[instance f<*>df<*>d-<*>c<*>f-<*>-<*>-<*>c<*>f<*>d<*>b] Took <*>.<*> seconds to <*>,4
206,[instance c<*>dff<*>-<*>e<*>a-<*>cc<*>-<*>c-<*>cf<*>bc<*>a<*>f] <*>,13
207,[instance c<*>dff<*>-<*>e<*>a-<*>cc<*>-<*>c-<*>cf<*>bc<*>a<*>f] Took <*>.<*> seconds to <*>,4
208,[instance <*>a<*>c-c<*>-<*>-a<*>e-<*>bc<*>fcf<*>a<*>e] <*>,13
209,[instance <*>a<*>c-c<*>-<*>-a<*>e-<*>bc<*>fcf<*>a<*>e] Took <*>.<*> seconds to <*>,4
210,[instance <*>ed<*>aa-<*>-<*>e<*>-<*>ada-<*>ff<*>a<*>f<*>b] <*>,13
211,[instance <*>ed<*>aa-<*>-<*>e<*>-<*>ada-<*>ff<*>a<*>f<*>b] Took <*>.<*> seconds to <*>,4
212,[instance eab<*>be<*>-<*>ac-<*>d<*>-<*>d-<*>c<*>fa] <*>,13
213,[instance eab<*>be<*>-<*>ac-<*>d<*>-<*>d-<*>c<*>fa] Took <*>.<*> seconds to <*>,4
214,[instance <*>caab<*>-f<*>-<*>ff<*>-ac<*>-<*>c<*>bd<*>b<*>] <*>,13
215,[instance <*>caab<*>-f<*>-<*>ff<*>-ac<*>-<*>c<*>bd<*>b<*>] Took <*>.<*> seconds to <*>,4
216,[instance b<*>f<*>dad-<*>de-<*>-a<*>-e<*>c<*>e<*>] <*>,13
217,[instance b<*>f<*>dad-<*>de-<*>-a<*>-e<*>c<*>e<*>] Took <*>.<*> seconds to <*>,4
218,[instance <*>b<*>e<*>b<*>-<*>bab-<*>dea-<*>cf-a<*>ad<*>a<*>a<*>a] <*>,13
219,[instance <*>b<*>e<*>b<*>-<*>bab-<*>dea-<*>cf-a<*>ad<*>a<*>a<*>a] Took <*>.<*> seconds to <*>,4
220,[instance b<*>b<*>c-f<*>d<*>-<*>-<*>fc-<*>b] <*>,13
221,[instance b<*>b<*>c-f<*>d<*>-<*>-<*>fc-<*>b] Took <*>.<*> seconds to <*>,4
222,[instance <*>c<*>ab<*>b-<*>-<*>a<*>-ab<*>f-<*>bb<*>fcd] <*>,13
223,[instance <*>c<*>ab<*>b-<*>-<*>a<*>-ab<*>f-<*>bb<*>fcd] Took <*>.<*> seconds to <*>,4
224,[instance c<*>e<*>b<*>-b<*>dc-<*>f-aafe-<*>ae<*>b<*>aa] <*>,13
225,[instance c<*>e<*>b<*>-b<*>dc-<*>f-aafe-<*>ae<*>b<*>aa] Took <*>.<*> seconds to <*>,4
226,[instance <*>bbcf-bfbd-<*>dc-aaeb-<*>ba<*>] <*>,13
227,[instance <*>bbcf-bfbd-<*>dc-aaeb-<*>ba<*>] Took <*>.<*> seconds to <*>,4
228,[instance <*>bf<*>-<*>-<*>b<*>-<*>ade-<*>dc<*>a<*>f<*>] <*>,13
